#,Temp,Pressure,Specific Volume,Internal Energy,Specific Enthalpy,Specific Entropy,Quality,Phase
1b,187,1.174,0.001137,792.9,794.2,2.207,0,Saturated Liquid
2,187,1.174,0.1585,2498,2685,6.315,0.95,Liquid Vapor Mixture
