#,Temp,Pressure,Specific Volume,Internal Energy,Specific Enthalpy,Specific Entropy,Quality,Phase
1,20,1.46,0.001001,83.85,85.31,0.2963,,Compressed Liquid
2,187,1.174,0.1668,2588,2784,6.531,1,Saturated Vapor
